37,67,11,19,61,11,94,19,28,12,60,35,7,22,11,88,55,29,7,19,24,87,48,15,57,81,17,28,71,94,71,0,85,1,81,55,27,46,56,27,84,34,4,0,82,92,86,86,92,71,29,10,46,33,60,35,29,16,98,71,4,97,29,9,52,60,5,49,31,20,16,95,18,96,95,61,77,5,16,98,1,35,72,16,66,43,0,33,39,35,88,86,98,98,44,81,25,10,71,49,27,8,90,96,49,7,77,93,60,42,17,68,43,36,62,27,54,54,29,62,71,8,3,7,74,84,96,57,61,76,46,28,37,19,79,66,99,23,10,60,51,50,10,87,42,68,96,58,36,49,46,22,20,16,30,21,21,15,26,16,83,54,91,72,47,23,45,8,4,5,25,38,86,86,46,83,29,29,13,41,3,9,12,60,35,83,54,69,41,0,21,63,92,68,34,47,4,59,70,63,
65,3,23,19,45,1,33,98,52,21,27,8,86,13,70,93,51,29,71,17,84,6,62,86,39,14,83,28,59,80,30,67,42,38,56,36,16,11,36,90,88,94,84,35,83,49,60,52,5,94,45,94,80,42,39,48,69,55,6,50,98,33,55,99,6,13,76,23,79,81,2,63,21,53,61,3,45,62,70,95,29,58,16,29,3,35,14,66,41,13,42,92,32,23,27,72,38,14,86,42,18,6,99,63,94,26,2,3,31,99,24,67,50,49,35,77,68,14,11,56,88,47,85,7,68,12,30,94,29,68,51,60,13,43,55,24,12,29,91,63,99,9,71,95,4,90,19,90,86,41,24,81,82,32,81,64,92,63,58,40,60,30,11,69,8,27,11,54,50,50,67,35,28,83,10,9,0,79,24,60,91,63,19,46,34,33,30,8,23,1,29,39,66,78,10,69,99,79,34,39,
65,81,19,23,78,5,98,78,61,66,78,87,14,49,23,71,84,27,82,46,89,25,46,59,8,22,60,53,11,1,32,41,16,62,75,91,29,84,61,81,16,4,0,88,90,93,68,87,93,0,71,57,82,48,13,19,81,7,92,83,34,84,45,92,80,28,79,71,52,43,41,52,57,18,24,50,21,19,27,75,61,73,82,67,14,29,7,12,42,86,31,33,17,25,34,45,36,77,94,24,73,55,82,80,99,70,96,72,98,86,3,70,55,34,27,96,20,76,3,34,46,9,13,82,40,59,70,32,45,63,17,65,3,79,58,20,19,5,41,0,53,46,12,14,19,3,10,82,54,58,41,16,98,9,70,94,24,27,58,17,34,95,57,6,62,36,47,38,84,95,50,89,2,24,15,25,83,8,6,23,23,70,25,95,69,90,54,25,3,87,0,87,92,90,3,35,90,44,32,19,
11,68,85,20,29,67,39,3,48,28,80,81,35,25,40,71,92,15,40,11,27,6,70,35,15,30,10,84,75,42,61,54,67,75,48,3,9,91,60,17,96,73,12,34,79,82,93,87,95,94,73,29,58,61,11,45,6,36,24,26,89,67,31,8,4,42,76,68,16,93,62,67,3,5,18,61,45,9,8,20,21,74,69,82,13,15,80,4,37,40,91,47,77,22,77,57,84,16,57,89,81,37,74,85,76,10,70,34,58,43,18,30,70,30,23,17,65,45,0,85,49,22,69,29,1,52,91,36,25,96,46,20,24,90,67,62,8,18,27,5,50,3,2,80,71,8,93,84,40,14,83,83,86,38,50,35,62,59,38,50,7,3,88,92,38,24,73,55,7,2,50,35,57,90,52,7,12,22,49,82,24,18,5,87,47,91,60,49,52,18,60,7,95,98,3,25,1,39,52,27,
76,39,31,79,51,63,64,14,8,37,80,84,64,46,99,13,29,3,45,87,35,46,76,23,52,63,59,64,98,84,93,15,67,7,66,96,29,58,51,66,40,25,10,48,15,13,84,93,91,60,2,57,76,58,59,13,51,51,48,63,49,43,59,83,73,79,26,88,25,88,44,55,11,10,58,32,71,52,40,10,10,4,43,36,33,31,70,97,99,58,33,56,14,50,6,99,97,6,37,2,4,80,71,73,30,56,70,19,95,29,59,24,97,77,44,38,3,8,30,37,21,28,72,18,53,0,67,50,28,62,93,7,98,3,9,91,76,23,96,28,2,71,30,81,68,40,92,69,27,53,75,27,69,69,3,21,2,14,1,81,54,6,98,81,8,8,12,70,22,15,85,61,6,12,60,83,77,33,0,64,55,67,95,51,10,24,50,69,70,50,88,75,18,17,74,97,68,96,83,9,
91,28,16,6,98,96,85,35,78,44,92,51,68,69,48,18,73,75,51,90,35,43,64,45,16,53,43,48,96,26,47,73,40,1,67,29,2,75,58,44,83,1,36,15,11,8,69,4,49,81,4,45,74,18,10,27,90,16,59,65,98,90,90,22,56,20,4,12,98,82,70,63,81,44,48,66,70,59,10,97,66,53,22,48,96,74,33,44,57,64,16,0,52,4,31,56,32,15,8,73,85,61,69,24,51,81,15,86,31,66,88,88,14,96,29,73,83,28,49,49,39,99,42,17,16,54,14,74,75,23,39,70,65,79,47,50,50,88,14,57,24,34,50,14,26,83,49,35,61,95,59,2,80,74,63,41,96,45,3,96,66,37,12,82,53,40,25,50,70,60,65,73,43,66,64,43,44,84,81,74,20,36,22,26,99,81,29,26,90,35,19,92,17,59,33,49,9,77,58,60,
50,39,68,45,11,15,50,26,20,72,91,86,18,57,82,98,57,84,5,98,4,47,85,20,87,66,88,76,61,93,46,60,90,75,42,66,99,0,69,20,42,19,21,80,65,57,79,10,37,51,23,19,93,18,82,33,77,54,34,25,89,0,54,69,71,69,84,46,37,9,72,89,64,89,4,74,71,89,22,81,96,29,79,71,48,87,48,2,94,15,62,70,93,87,89,39,29,1,74,94,28,67,27,40,61,50,31,50,2,71,46,20,82,12,48,18,3,67,37,36,2,76,42,93,46,85,91,44,27,80,28,15,71,77,55,58,19,5,48,23,0,43,75,47,10,11,19,22,93,53,28,31,74,79,0,44,50,27,40,49,6,96,10,8,64,36,22,42,74,80,97,73,79,40,78,33,32,49,64,4,54,57,86,10,42,26,85,2,50,48,97,89,53,25,15,85,18,71,79,97,
19,69,67,4,69,70,74,19,93,35,75,5,93,48,86,54,97,55,93,28,46,68,93,38,65,53,16,94,89,6,63,67,6,10,25,48,89,78,83,69,20,46,79,84,52,1,72,15,44,44,60,84,2,36,36,5,77,99,17,91,61,34,36,20,46,9,93,54,23,91,73,98,78,24,26,72,82,8,88,4,34,83,45,48,70,36,70,94,38,35,70,33,81,38,13,79,11,35,17,72,62,41,5,47,95,70,14,23,51,2,50,54,24,82,33,26,51,22,0,48,99,40,54,79,19,11,70,65,26,76,42,80,72,61,78,20,90,72,16,93,99,31,87,69,66,94,92,36,67,8,65,84,93,36,79,40,70,8,79,73,83,16,60,37,12,26,64,4,96,82,55,44,46,10,7,52,46,27,18,13,75,30,98,74,39,45,27,2,70,22,25,8,45,51,83,47,62,1,99,32,
64,36,45,18,32,59,40,44,35,69,18,53,8,71,49,73,74,44,38,92,19,40,79,18,57,5,66,94,98,89,64,19,27,81,48,29,73,86,88,12,63,51,30,29,72,55,76,82,82,93,74,19,73,50,54,22,2,30,22,27,80,43,66,79,84,23,81,31,33,36,54,30,26,23,44,75,53,15,82,4,70,92,34,5,64,1,96,1,97,86,47,32,8,18,13,10,48,92,16,47,28,45,46,20,13,68,97,25,65,58,80,61,10,33,41,48,20,44,39,63,61,68,1,95,46,86,46,44,74,90,80,41,86,20,25,10,96,81,64,38,6,73,45,78,31,76,76,22,6,55,66,88,83,26,31,7,46,12,4,38,31,39,75,33,95,49,57,21,54,44,7,46,66,74,45,26,69,97,54,49,44,19,94,47,74,54,43,56,8,15,43,20,14,20,63,60,48,12,25,25,
75,39,72,45,35,48,76,59,15,92,73,24,31,31,70,88,51,93,7,54,80,52,8,62,64,57,41,37,35,62,26,62,21,39,64,27,63,25,95,34,21,92,19,55,27,44,90,13,57,56,72,74,98,37,89,75,4,47,21,11,37,47,2,71,69,68,11,92,68,57,33,38,25,27,89,47,80,57,82,0,21,89,57,90,62,93,84,92,91,87,62,20,42,22,88,85,85,95,32,37,57,88,98,93,48,99,71,70,39,67,91,85,51,85,52,12,52,22,9,84,1,44,5,83,95,91,96,43,1,93,77,57,33,47,2,12,85,21,97,58,90,93,48,90,62,24,47,43,44,56,46,0,97,13,94,49,2,79,30,39,96,37,60,52,18,10,90,54,65,50,94,86,34,23,53,97,98,61,75,47,47,55,49,88,11,86,17,28,64,57,67,18,67,26,6,82,19,67,81,13,
